teryt;gmina;powiat;wojewodztwo;numer;mieszkancy;wyborcy;pakiety;siedziba;miejscowosc;ulica;nr_posesji;nr_lokalu;kod_pocztowy;poczta;typ_obwodu;dla_niepelnosprawnych;typ_obszaru;pelna_siedziba;opis_granic
246901;m. Katowice;Katowice;śląskie;39;999;806;0;Zespół Szkolno-Przedszkolny nr 3;Katowice;ul. Józefa Grzegorzka;4;;40-309;Katowice;stały;Tak;miasto;Zespół Szkolno-Przedszkolny nr 3, ul. Józefa Grzegorzka 4, 40-309 Katowice;"ul.: Majora Henryka Dobrzańskiego ""Hubala"", Dytrycha, Józefa Grzegorzka, gen. Henryka le Ronda od nr 2 do nr 22 parzyste, od nr 1 do nr 15 nieparzyste, Milowicka, Al. Niepodległości, Nowy Czekaj, Romualda Pitery, Stacyjna, Wyrobiskowa, Żniwna, Plac Żołnierzy Września, Żwirowa, Żyzna."
246901;m. Katowice;Katowice;śląskie;40;936;762;0;Zespół Szkolno-Przedszkolny nr 3;Katowice;ul. Józefa Grzegorzka;4;;40-309;Katowice;stały;Tak;miasto;Zespół Szkolno-Przedszkolny nr 3, ul. Józefa Grzegorzka 4, 40-309 Katowice;ul.: Park w Dąbrówce, Pod Młynem, Aleja Walentego Roździeńskiego od nr 95 do końca nieparzyste, Strzelców Bytomskich.
246901;m. Katowice;Katowice;śląskie;41;1355;1151;1;Zespół Szkół Handlowych;Katowice;ul. gen. Józefa Hallera;60;;40-320;Katowice;stały;Nie;miasto;Zespół Szkół Handlowych, ul. gen. Józefa Hallera 60, 40-320 Katowice;ul.: Konna, Kuśnierska, Józefa Mackiewicza, Miedziana, Pogodna, Przedwiośnie.
246901;m. Katowice;Katowice;śląskie;42;1423;1183;2;Szkoła Podstawowa dla Chłopców KUŹNICA;Katowice;ul. Deszczowa;14;;40-318;Katowice;stały;Tak;miasto;Szkoła Podstawowa dla Chłopców KUŹNICA, ul. Deszczowa 14, 40-318 Katowice;ul.: Babiego Lata, Chłodna, Deszczowa, gen. Józefa Hallera od nr 10 do końca parzyste, od nr 5 do końca nieparzyste, Jesienna, Letnia, Lodowa, Mroźna, Aleja Walentego Roździeńskiego od nr 190 do końca parzyste, Szronowa, Śniegowa, Wiosenna, Zimowa.
246901;m. Katowice;Katowice;śląskie;43;1183;955;0;Szkoła Podstawowa nr 45;Katowice;ul. dr Janusza Korczaka;11;;40-338;Katowice;stały;Tak;miasto;Szkoła Podstawowa nr 45, ul. dr Janusza Korczaka 11, 40-338 Katowice;ul.: Generała Władysława Andersa, Borki, gen. Józefa Hallera od nr 2 do nr 8 parzyste, od nr 1 do nr 3 nieparzyste, dr Janusza Korczaka, Kazimierza Kutza, Obrońców Westerplatte od nr 60 końca parzyste, od nr 51 do końca nieparzyste, Siewna, Wandy.
246901;m. Katowice;Katowice;śląskie;44;1593;1294;1;Zespół Szkolno-Przedszkolny nr 25;Katowice;ul. Morawa;86;;40-353;Katowice;stały;Tak;miasto;Zespół Szkolno-Przedszkolny nr 25, ul. Morawa 86, 40-353 Katowice;ul.: Morawa od nr 78 do końca parzyste, od nr 87 do końca nieparzyste, Osiedlowa, Przelotowa, Sosnowiecka, mjra Henryka Sucharskiego.
246901;m. Katowice;Katowice;śląskie;45;1947;1591;2;Zespół Szkolno-Przedszkolny nr 12;Katowice;ul. Wiosny Ludów;22;;40-374;Katowice;stały;Tak;miasto;Zespół Szkolno-Przedszkolny nr 12, ul. Wiosny Ludów 22, 40-374 Katowice;ul.: Ciesielska, Józefy Kantorówny, Plac Ogród Dworcowy, Plac Powstańców Śląskich, Ratuszowa, Wałowa, Ludwika Zamenhofa.
246901;m. Katowice;Katowice;śląskie;46;1377;1049;0;Zespół Szkolno-Przedszkolny nr 12;Katowice;ul. Wiosny Ludów;22;;40-374;Katowice;stały;Tak;miasto;Zespół Szkolno-Przedszkolny nr 12, ul. Wiosny Ludów 22, 40-374 Katowice;ul.: Chemiczna, Szabelniana, Park Antona Uthemanna, Wiosny Ludów, Wytapiaczy.
246901;m. Katowice;Katowice;śląskie;47;1292;1019;1;Zespół Szkół Przemysłu Spożywczego;Katowice;ul. ks. bpa Herberta Bednorza;15;;40-384;Katowice;stały;Nie;miasto;Zespół Szkół Przemysłu Spożywczego, ul. ks. bpa Herberta Bednorza 15, 40-384 Katowice;ul.: Bednarska, Brynicy, Adama Kocura, Morawa od nr 2 do nr 76 parzyste, od nr 1 do nr 85 nieparzyste, Objazdowa, Obrońców Westerplatte od nr 2 do nr 58 parzyste, od nr 1 do nr 49 nieparzyste.
246901;m. Katowice;Katowice;śląskie;48;1534;1246;1;Zespół Szkół Przemysłu Spożywczego;Katowice;ul. ks. bpa Herberta Bednorza;15;;40-384;Katowice;stały;Nie;miasto;Zespół Szkół Przemysłu Spożywczego, ul. ks. bpa Herberta Bednorza 15, 40-384 Katowice;ul.: 11 Listopada, ks. bpa Herberta Bednorza, Kołodziejska, Krakowska, Lwowska od nr 1 do nr 32, dr Stanisława Olchawy, Roździeńska, Melchiora Wańkowicza, Zygfryda Wende, ks. mjra Karola Woźniaka, Wypoczynkowa.
